GEOID10,rpp_spots
110010039003000,54
110010039003001,27
110010039003002,54
110010039003003,57
110010039003004,7
110010039004000,100
110010039004001,66
110010039004002,26
110010040011000,39
110010040011001,70
110010040011002,73
110010040011003,70
110010040011004,15
110010040012000,41
110010040012001,61
110010040012002,44
110010040012003,8
110010040012004,19
110010040013000,26
110010040013002,36
110010040013003,47
110010040013004,30
110010040013005,9
110010040013006,30
110010040013007,64
110010040013008,69
110010040013009,75
110010040021000,37
110010040021001,60
110010040022000,76
110010040022001,76
110010040022002,68
110010040022003,46
110010040023000,15
110010040023001,61
110010040023002,1
110010041001000,27
110010041001001,71
110010041001002,53
110010041001003,48
110010041001004,114
110010041002000,3
110010041002001,184
110010041002002,62
110010041002003,44
110010041002004,106
110010041002005,34
110010041002007,2
110010041002008,44
110010041002010,25
110010041002012,62
110010041002013,50
110010041002014,67
110010041002015,67
110010041003000,59
110010041003001,117
110010041003002,78
110010041003003,84
110010041003005,6
110010041003006,7
110010041003010,4
110010041003011,63
110010041003013,87
110010041003014,90
110010041003015,60
110010041003016,61
110010041003018,1
110010041003020,21
110010041003021,38
110010041003022,4
110010041003023,5
110010041003024,9
110010041003026,1
110010041003028,46
110010041003029,28
110010041003030,13
110010041003031,40
110010042011000,57
110010042011001,56
110010042011002,42
110010042011003,50
110010042011004,48
110010042011005,18
110010042011006,62
110010042012000,16
110010042012001,40
110010042012002,55
110010042012003,47
110010042012004,90
110010042012005,84
110010042012006,72
110010042012007,23
110010042021000,62
110010042021001,54
110010042021002,44
110010042021003,46
110010042021004,23
110010042021005,44
110010042021006,21
110010042021007,5
110010042021008,30
110010042021009,3
110010042021010,7
110010042021011,9
110010042022000,28
110010042022001,49
110010042022002,33
110010042022003,5
110010042022004,36
110010042022005,1
110010042022007,48
110010043001000,44
110010043001001,33
110010043001002,15
110010043001003,39
110010043001004,33
110010043001005,35
110010043001006,22
110010043001007,37
110010043002000,24
110010043002001,21
110010043002002,58
110010043002003,60
110010043002004,60
110010043002005,44
110010043002006,59
110010044001000,46
110010044001001,28
110010044001002,47
110010044001003,52
110010044001004,49
110010044001005,61
110010044001006,41
110010044001007,28
110010044001008,26
110010044001009,37
110010044001010,45
110010044001011,30
110010044001012,5
110010044001013,17
110010044001014,35
110010044001015,30
110010044001016,47
110010044001017,29
110010044001018,22
110010044002000,26
110010044002001,13
110010044002002,104
110010044002004,16
110010044002005,29
110010044002006,42
110010044002007,21
110010044002008,39
110010044002009,49
110010044002010,74
110010044002011,52
110010044002012,32
110010044002013,36
110010044002014,10
110010044002015,65
110010044002016,41
110010044002017,30
110010044002018,62
110010046001000,73
110010046001001,32
110010046001002,78
110010046001003,70
110010046001004,127
